id,match,chunk,frame,carrier_dist_m,player_name,confidence_1to3,pred_player,best_sim,margin,assigned,wrong_box,correct,gallery_covered,dist_band
000_manutd_liverpool_h1_chunk_002_f9620,manutd_liverpool,h1_chunk_002,9620,1.57,Ibrahima Konaté,3,Ibrahima Konaté,0.9577136039733887,0.016869723796844482,True,False,True,True,1-2m
001_manutd_liverpool_h1_chunk_002_f10405,manutd_liverpool,h1_chunk_002,10405,2.5,Ibrahima Konaté,3,Diogo Jota,0.9112470746040344,0.011247217655181885,True,False,False,True,2-3m
002_manutd_liverpool_h1_chunk_004_f5690,manutd_liverpool,h1_chunk_004,5690,0.22,Lisandro Martínez,3,Bruno Fernandes,0.8947088718414307,0.024282872676849365,True,False,False,True,0-1m
003_manutd_liverpool_h1_chunk_004_f11995,manutd_liverpool,h1_chunk_004,11995,1.97,Mohamed Salah,1,,0.8977106213569641,0.004614889621734619,False,False,False,False,1-2m
004_manutd_liverpool_h1_chunk_004_f11020,manutd_liverpool,h1_chunk_004,11020,1.0,Ibrahima Konaté,3,Ryan Gravenberch,0.9239959120750427,0.013020455837249756,True,False,False,True,1-2m
005_manutd_liverpool_h1_chunk_000_f405,manutd_liverpool,h1_chunk_000,405,1.19,Bruno Fernandes,3,,0.8592792749404907,0.0045053958892822266,False,False,False,True,1-2m
006_manutd_liverpool_h1_chunk_001_f3110,manutd_liverpool,h1_chunk_001,3110,2.43,Casemiro,3,Casemiro,0.9158233404159546,0.06432855129241943,True,False,True,True,2-3m
007_manutd_liverpool_h1_chunk_001_f3225,manutd_liverpool,h1_chunk_001,3225,0.66,Casemiro,3,,0.8640145063400269,0.005820810794830322,False,False,False,True,0-1m
008_manutd_liverpool_h1_chunk_004_f2280,manutd_liverpool,h1_chunk_004,2280,0.9,Kobbie Mainoo,3,,0.8633384704589844,0.007943272590637207,False,False,False,True,0-1m
009_manutd_liverpool_h1_chunk_003_f11595,manutd_liverpool,h1_chunk_003,11595,0.26,André Onana,3,,0.849480926990509,0.012106359004974365,False,False,False,False,0-1m
010_manutd_liverpool_h1_chunk_001_f3185,manutd_liverpool,h1_chunk_001,3185,1.05,Matthijs de Ligt,3,Alejandro Garnacho,0.9032282829284668,0.031489789485931396,True,False,False,False,1-2m
011_manutd_liverpool_h1_chunk_001_f9030,manutd_liverpool,h1_chunk_001,9030,0.1,Noussair Mazraoui,3,Noussair Mazraoui,0.9110113978385925,0.04059487581253052,True,False,True,True,0-1m
013_manutd_liverpool_h1_chunk_003_f3195,manutd_liverpool,h1_chunk_003,3195,0.86,Andy Robertson,3,Andy Robertson,0.9573383331298828,0.01016765832901001,True,False,True,True,0-1m
014_manutd_liverpool_h1_chunk_001_f11760,manutd_liverpool,h1_chunk_001,11760,0.89,Andy Robertson,3,,0.9410297870635986,0.007716655731201172,False,False,False,True,0-1m
015_manutd_liverpool_h2_chunk_003_f1580,manutd_liverpool,h2_chunk_003,1580,1.8,Andy Robertson,3,Dominik Szoboszlai,0.9129165410995483,0.018416881561279297,True,False,False,True,1-2m
016_manutd_liverpool_h2_chunk_003_f3950,manutd_liverpool,h2_chunk_003,3950,1.36,Kobbie Mainoo,3,,0.8614110350608826,0.007511794567108154,False,False,False,True,1-2m
017_manutd_liverpool_h2_chunk_003_f9950,manutd_liverpool,h2_chunk_003,9950,0.21,Noussair Mazraoui,3,Ryan Gravenberch,0.9009907245635986,0.015395164489746094,True,False,False,True,0-1m
018_manutd_liverpool_h2_chunk_003_f10415,manutd_liverpool,h2_chunk_003,10415,2.05,WRONG_PLAYER_BOXED,3,,0.908920407295227,0.007936835289001465,False,True,False,False,2-3m
019_manutd_liverpool_h2_chunk_003_f7900,manutd_liverpool,h2_chunk_003,7900,1.01,André Onana,3,,0.8420680165290833,0.01032024621963501,False,False,False,False,1-2m
020_manutd_liverpool_h2_chunk_001_f10100,manutd_liverpool,h2_chunk_001,10100,1.33,Matthijs de Ligt,3,Bruno Fernandes,0.8993834853172302,0.020249545574188232,True,False,False,False,1-2m
021_manutd_liverpool_h2_chunk_002_f10080,manutd_liverpool,h2_chunk_002,10080,0.96,Noussair Mazraoui,3,,0.8639185428619385,0.0012673139572143555,False,False,False,True,0-1m
022_manutd_liverpool_h2_chunk_003_f8645,manutd_liverpool,h2_chunk_003,8645,0.69,André Onana,3,,0.8063572645187378,0.0005810260772705078,False,False,False,False,0-1m
023_manutd_liverpool_h2_chunk_005_f2150,manutd_liverpool,h2_chunk_005,2150,1.14,Harry Maguire,3,Bruno Fernandes,0.8830652236938477,0.020772278308868408,True,False,False,False,1-2m
