frame,x,y,visible
15,728.2,253.5,1
1125,901.6,398.1,1
3280,424.3,549.8,1
3430,436.7,545.7,1
3580,497.4,424.3,1
3830,425.7,325.0,1
3980,562.3,271.2,1
4130,469.8,271.2,1
4545,387.1,300.2,1
5145,429.8,309.8,1
5405,422.9,289.2,1
5945,527.8,478.1,1
7075,-1.0,-1.0,0
7225,596.7,460.2,1
7390,538.8,511.2,1
7570,805.0,529.2,1
7720,624.3,449.2,1
7870,701.6,406.4,1
8170,798.1,421.6,1
8320,864.3,436.7,1
9690,660.2,268.5,1
9845,736.1,370.5,1
10070,570.5,322.3,1
10320,880.9,507.1,1
11350,802.3,280.9,1
13040,776.1,276.7,1
13205,940.2,301.6,1
14175,774.7,291.9,1
14785,900.2,480.9,1
14945,811.9,425.7,1
15465,897.4,355.4,1
15615,634.0,253.3,1
15765,567.8,275.4,1
15915,636.7,268.5,1
16215,422.9,345.7,1
16395,425.7,382.9,1
16545,520.9,627.1,1
17070,449.2,526.4,1
17275,-1.0,-1.0,0
17425,-1.0,-1.0,0
18760,726.4,283.6,1
18910,751.2,341.6,1
19870,574.7,305.7,1
20055,611.9,341.6,1
20225,-1.0,-1.0,0
20890,358.1,325.0,1
21870,304.3,507.1,1
22295,388.5,485.0,1
22525,577.4,395.4,1
22970,897.4,396.7,1
23120,-1.0,-1.0,0
23270,540.2,351.2,1
23425,-1.0,-1.0,0
23575,788.5,301.6,1
23725,864.3,327.8,1
23875,747.1,318.1,1
24200,-1.0,-1.0,0
24355,730.5,406.4,1
24530,894.7,319.5,1
24700,734.7,309.8,1
26265,776.1,262.9,1
26445,-1.0,-1.0,0
27590,718.1,435.4,1
28135,567.8,490.5,1
28285,525.0,530.5,1
28435,-1.0,-1.0,0
28865,371.9,519.5,1
29015,354.0,501.6,1
31505,792.6,300.2,1
31815,752.6,290.5,1
31965,853.3,323.6,1
32115,960.9,431.2,1
32360,-1.0,-1.0,0
32750,854.7,347.1,1
32900,-1.0,-1.0,0
33430,-1.0,-1.0,0
33810,839.5,311.2,1
33960,814.7,275.4,1
34200,542.9,293.3,1
35050,795.4,305.7,1
35285,-1.0,-1.0,0
35435,-1.0,-1.0,0
35585,795.4,305.7,1
35735,789.8,314.0,1
35995,925.0,351.2,1
